province,station_name,icao,iata,synop,latitude,longitude,elevation_m,metar,nexrad,aviation,upper_air,auto_type,office_type,country
MB,VIVIAN RADAR,CWVJ,,,49 53,096 28W,290,,Yes,,,,,CA
MB,WINNIPEG INTL AR,CYWG,YWG,7185,49 53,097 13W,239,Yes,,TAF+AIRMET/SIGMET,,,,CA
MB,WINNIPEG,CXWI,,7184,49 53,097 08W,251,,,,,,,CA
MB,WINNIPEG FORKS,CXWN,XWN,7157,49 53,097 08W,230,Yes,,,,,,CA
MB,NORWAY HOUSE ARP,CYNE,YNE,,53 58,097 49W,223,Yes,,TAF,,,,CA
NB,BATHURST ARPT(AW,CZBF,ZBF,7157,47 37,065 45W,59,Yes,,TAF,,,,CA
NB,CHARLO AIRPORT,CZCR,,7171,47 58,066 19W,38,Yes,,,,,,CA
NB,CHIPMAN RADAR,CXNC,,,46 13,065 42W,1,,Yes,,,,,CA
NB,EDMUNSTON,CERM,,,47 25,068 19W,154,Yes,,,,,,CA
NB,FREDERICTON AIRP,CYFC,YFC,7170,45 52,066 31W,20,Yes,,TAF,,,,CA
NB,GAGETOWN  (CAN M,CYCX,YCX,7170,45 49,066 25W,51,Yes,,TAF,,,,CA
NB,GRAND MANAN,CXGM,,7103,44 43,066 48W,78,Yes,,,,,,CA
NB,MECHANIC SETTLE,CWMK,,,45 42,065 10W,1,,Yes,,,,,CA
NB,MIRAMICHI,CACQ,YCH,7171,47 01,065 28W,31,Yes,,TAF,,,,CA
NB,MISCOU ISL (MARS,CWMI,WMI,7171,48 01,064 30W,3,Yes,,,,,,CA
NB,MONCTON AIRPORT,CYQM,YQM,7170,46 07,064 40W,71,Yes,,TAF,,,,CA
NB,POINT LEPREAU,CWPE,WPE,,45 04,066 28W,1,Yes,,,,,,CA
NB,PT. ESCUMINAC(MA,CWPJ,WPJ,7141,47 04,064 47W,5,Yes,,,,,,CA
NB,SAINT JOHN,CYSJ,YSJ,7160,45 19,065 52W,109,Yes,,TAF+AIRMET/SIGMET,,,,CA
NB,SAINT LEONARD AR,CYSL,YSL,7170,47 08,067 49W,241,Yes,,TAF,,,,CA
NB,ST LEONARD AUTOB,CWIY,WIY,7101,47 08,067 49W,241,Yes,,,,,,CA
NB,ST. STEPHEN (MAR,CWSS,WSS,7160,45 12,067 15W,26,Yes,,,,,,CA
NB,CHARLO AIRPORT,CYCL,,,47 59,066 20W,38,Obsolete,,,,,,CA
NB,CHATHAM,CYCH,,,47 00,065 27W,31,Obsolete,,,,,,CA
NB,MIRAMICHI (AU8),CWCQ,WCQ,,47 00,065 28W,34,Obsolete,,,,,,CA
NL,ARGENTIA (MARS),CWAR,WAR,7180,47 17,054 00W,16,Yes,,,,,,CA
NL,BADGER (MARS),CWDI,WDI,7140,48 58,056 04W,105,Yes,,,,,,CA
NL,BONAVISTA,CWVA,WVA,7119,48 40,053 07W,27,Yes,,,,,,CA
NL,BURGEO,CWBF,,,47 37,057 38W,12,Yes,,,,,,CA
NL,CAPE KAKKIVIAK,CWKW,WKW,7117,59 58,064 10W,551,Yes,,,,,,CA
NL,CAPE KIGLAPAIT,CWYK,WYK,7117,57 07,061 28W,834,Yes,,,,,,CA
NL,CAPE RACE (MARS),CWRA,WRA,7180,46 38,053 04W,28,Yes,,,,,,CA
NL,CARTWRIGHT,CWCA,,7181,53 42,057 01W,14,Yes,,,,,,CA
NL,CARTWRIGHT,CYCA,,,53 41,057 02W,12,Yes,,TAF,,,,CA
NL,CHURCHILL FALLS,CZUM,ZUM,7118,53 32,064 05W,440,Yes,,TAF,,,,CA
NL,DANIEL'S HARBOUR,CWDH,WDH,7118,50 13,057 34W,19,Yes,,,,,,CA
NL,DEER LAKE AIRPOR,CYDF,YDF,7180,49 13,057 24W,22,Yes,,TAF,,,,CA
NL,ENGLEE (MAPS),CWDA,WDA,7141,50 43,056 07W,29,Yes,,,,,,CA
NL,FEROLLE PT. (MAP,CWXI,WXI,,51 01,057 06W,6,Yes,,,,,,CA
NL,GANDER INTL AIRP,CYQX,YQX,7180,48 57,054 35W,151,Yes,,TAF,,,,CA
NL,GOOSE BAY AIRPOR,CYYR,YYR,7181,53 19,060 25W,49,Yes,,TAF,Rawinsonde,,,CA
NL,GRATES COVE,CWVW,,7133,48 10,052 56W,18,Yes,,,,,,CA
NL,HOLYROOD RADAR,CWTP,,,47 20,053 11W,1,,Yes,,,,,CA
NL,HOPEDALE (MAPS),CWHO,WHO,7190,55 27,060 13W,8,Yes,,,,,,CA
NL,LA SCIE,CWAG,,7133,49 55,055 40W,192,Yes,,,,,,CA
NL,LONG POND,CWWU,,,47 31,052 59W,13,Yes,,TAF,,,,CA
NL,MAKKOVIK AIRPORT,CYFT,YFT,,55 04,059 10W,71,Yes,,,,,,CA
NL,MARBLE MTN RADAR,CXME,,,48 56,057 50W,1,,Yes,,,,,CA
NL,MARY'S HARBOUR,CYMH,YMH,,52 17,055 51W,11,Yes,,TAF,,,,CA
NL,NAIN AIRPORT,CYDP,YDP,7190,56 32,061 40W,7,Yes,,TAF,,,,CA
NL,PORT AUX BASQUES,CWZB,WZB,7119,47 34,059 10W,40,Yes,,,Military,,,CA
NL,ROCKY HARBOUR,CXRH,XRH,7158,49 34,057 53W,68,Yes,,,,,,CA
NL,SAGLEK (BAY),CWZZ,WZZ,7180,58 19,062 34W,483,Yes,,,,,,CA
NL,SAGONA ISL (MAPS,CWZN,WZN,7140,47 22,055 48W,64,Yes,,,,,,CA
NL,SAINT ANTHONY,CWAX,WAX,7181,51 23,056 05W,111,Yes,,,,,,CA
NL,SAINT ANTHONY,CWDW,,7155,51 23,056 06W,29,Yes,,,,,,CA
NL,SAINT ANTHONY AR,CYAY,YAY,7183,51 23,056 04W,28,Yes,,TAF,,,,CA
NL,ST JOHNS ARP,CYYT,YYT,7180,47 37,052 43W,140,Yes,,TAF,Rawinsonde,,,CA
NL,ST JOHNS WEST,CXSW,,7158,47 31,052 47W,114,Yes,,,,,,CA
NL,STEPHENVILLE ARP,CYJT,YJT,7181,48 33,058 34W,26,Yes,,TAF,Rawinsonde,,,CA
NL,TERRA NOVA,CXTP,XTP,7158,48 33,053 58W,107,Yes,,,,,,CA
NL,TUKIALIK BAY,CWTU,WTU,7117,54 43,058 21W,683,Yes,,,,,,CA
NL,TWILLINGATE (MAP,CWDO,,7140,49 40,054 47W,92,Yes,,,,,,CA
NL,WABUSH LAKE AIRP,CYWK,YWK,7182,52 55,066 52W,551,Yes,,TAF,,,,CA
NL,WRECKHOUSE,CXWR,,7158,47 43,059 19W,33,Yes,,,,,,CA
NS,AMHERST (MARS),CWAH,WAH,7141,45 51,064 16W,23,Yes,,,,,,CA
NS,BEAVER ISLAND(MA,CWBV,WBV,7140,44 49,062 19W,10,Yes,,,,,,CA
NS,BRIER ISLAND(AUT,CWVU,WVU,,44 17,066 20W,16,Yes,,,,,,CA
NS,CAPE GEORGE (AUT,CWGU,WGU,,45 52,061 54W,120,Yes,,,,,,CA
NS,CARIBOU POINT(MA,CWBK,WBK,7141,45 46,062 40W,2,Yes,,,,,,CA
NS,CHETICAMP,CXCH,XCH,,46 38,060 57W,44,Yes,,,,,,CA
NS,DEBERT,CZDB,,7131,45 25,063 28W,38,Yes,,,,,,CA
NS,DIGBY ARPT (AWRS,CYID,YID,,44 32,065 46W,152,Yes,,,,,,CA
NS,FOURCHU HEAD(MAP,CWRW,WRW,7141,45 43,060 13W,10,Yes,,,,,,CA
NS,GRAND ETANG (AUT,CWZQ,WZQ,7141,46 32,061 03W,17,Yes,,,,,,CA
NS,GREENWOOD (CAN M,CYZX,YZX,7139,44 59,064 55W,28,Yes,,TAF,,,,CA
NS,HALIFAX INTL ARP,CYHZ,YHZ,7139,44 52,063 30W,145,Yes,,TAF,,,,CA
NS,HART ISLAND (MAP,CWRN,WRN,7141,45 21,060 59W,8,Yes,,,,,,CA
NS,INGONISH BEACH,CXIB,XIB,7102,46 40,060 23W,8,Yes,,,,,,CA
NS,KEJIMKUJIK (AU8),CWKG,WKG,7159,44 26,065 12W,165,Yes,,,,,,CA
NS,KENTVILLE (AUTOB,CXKT,XKT,7160,45 04,064 29W,49,Yes,,,,,,CA
NS,LUNENBURG,CXLB,,,44 22,064 18W,4,Yes,,,,,,CA
NS,MALAY FALLS,CXMY,XMY,,44 59,062 29W,40,Yes,,,,,,CA
NS,MARION BRIDGE,CXMB,,,45 57,060 12W,1,,Yes,,,,,CA
NS,MCNABS ISLAND,CXMI,XMI,,44 36,063 32W,15,Yes,,,,,,CA
NS,NAPPAN (AUTO),CXNP,,7131,45 45,064 14W,20,Yes,,,,,,CA
NS,NORTH MOUNTAIN,CXNM,XNM,,46 49,060 40W,439,Yes,,,,,,CA
NS,PORT HAWKESBURY,CYPD,YPD,,45 40,061 22W,114,Yes,,,,,,CA
NS,ROWAN GORILLA II,CWXO,WXO,,43 52,060 32W,44,Yes,,,,,,CA
NS,SABLE ISLAND,CWSA,,7160,43 56,060 00W,4,Yes,,TAF,Rawinsonde,,,CA
NS,SABLE ISLAND(APT,CYSA,YSA,,43 55,060 00W,4,Yes,,TAF,,,,CA
NS,SHEARWATER(CAN M,CYAW,YAW,7160,44 38,063 30W,51,Yes,,TAF,,,,CA
NS,SHELBURNE,CWOS,WOS,7139,43 43,065 15W,30,,,,Military,,,CA
NS,ST. PAUL ISL(MAP,CWEF,WEF,7141,47 13,060 07W,26,Yes,,,,,,CA
NS,SYDNEY AIRPORT,CYQY,YQY,7170,46 10,060 02W,62,Yes,,TAF,,,,CA
NS,TRACADIE,CXTD,,7130,45 37,061 41W,68,Yes,,,,,,CA
NS,TRENTON MUNICIPA,CYTN,YTN,,45 37,062 37W,97,Yes,,,,,,CA
NS,TRURO (MARS),CWUR,WUR,7139,45 22,063 16W,40,Yes,,,,,,CA
NS,WESTERN HEAD (MA,CWWE,WWE,7141,43 58,064 40W,9,Yes,,,,,,CA
NS,YARMOUTH AIRPORT,CYQI,YQI,7160,43 50,066 05W,43,Yes,,TAF,Rawinsonde,,,CA
NT,AKLAVIK AIRPORT,CYKD,YKD,,68 13,135 00W,7,Yes,,,,,,CA
NT,CAPE PARRY AUTO4,CZCP,,,70 10,124 43W,93,Yes,,,,,,CA
NT,COLVILLE LAKE,CYVL,,,67 01,126 08W,259,Yes,,,,,,CA
NT,DEADMAN VALLEY,CXDK,,7102,61 16,124 28W,283,Yes,,,,,,CA
NT,DELINE,CXDE,XDE,7150,65 13,123 26W,213,Yes,,,,,,CA
NT,EKATI (PWS),CYOA,YOA,,64 42,110 37W,469,Yes,,TAF,,,,CA
NT,FORT FRANKLIN AR,CYWJ,YWJ,,65 13,123 26W,176,Yes,,TAF,,,,CA
NT,FORT GOOD HOPE A,CYGH,YGH,,66 16,128 37W,66,Yes,,TAF,,,,CA
NT,FORT LIARD AIRPO,CYJF,YJF,,60 13,123 28W,215,Yes,,,,,,CA
NT,FORT MCPHERSON A,CZFM,ZFM,,67 24,134 52W,43,Yes,,TAF,,,,CA
NT,FORT NORMAN AIRP,CZFN,ZFN,,64 55,125 34W,98,Yes,,,,,,CA
NT,FORT PROVIDENCE,CWID,WID,7108,61 19,117 36W,161,Yes,,,,,,CA
NT,FORT RESOLUTION,CYFR,YFR,,61 10,113 40W,164,Yes,,,,,,CA
NT,FORT SIMPSON ARP,CYFS,YFS,7194,61 45,121 13W,169,Yes,,TAF,,,,CA
NT,FT SIMPSON 71681,CXFS,,,61 45,121 14W,169,Obsolete,,,,,,CA
NT,FORT SIMPSON,CZFS,,7136,61 46,121 14W,168,Yes,,,,,,CA
NT,FORT SMITH AIRPO,CYSM,YSM,7193,60 02,111 58W,203,Yes,,TAF,Rawinsonde,,,CA
NT,FORT SMITH,CZSM,,7136,60 02,111 56W,203,Yes,,,,,,CA
NT,GATESHEAD ISLAND,CNGH,,7114,70 38,100 16W,20,Yes,,,,,,CA
NT,HAY RIVER AIRPOR,CYHY,YHY,7193,60 49,115 46W,166,Yes,,TAF,,,,CA
NT,HAY RIVER,CZHY,,7136,60 50,115 47W,164,Yes,,,,,,CA
NT,HANBURY RIVER,CWQY,,7196,63 36,105 08W,318,Yes,,,,,,CA
NT,HOLMAN ISLAND AR,CYHI,YHI,,70 46,117 47W,36,Yes,,TAF,,,,CA
NT,HOLMAN CS,CXHI,,7102,70 46,117 48W,30,Yes,,,,,,CA
NT,INDIAN RIVER,CWIE,WIE,7116,64 23,115 01W,478,Yes,,,,,,CA
NT,INUVIK AIRPORT,CYEV,YEV,7195,68 19,133 30W,68,Yes,,TAF,Rawinsonde,,,CA
NT,INUVIK,CZEV,,7136,68 19,133 31W,103,Yes,,,,,,CA
NT,JEAN MARIER,CXJM,,7115,61 21,120 47W,227,Yes,,,,,,CA
NT,KEATS POINT,CWKP,,7105,69 40,121 40W,330,Yes,,,,,,CA
NT,LAC LA MARTRE,CWMT,,7116,63 08,117 15W,271,Yes,,,,,,CA
NT,LINDBERG LANDING,CXLL,,7168,61 07,122 51W,183,Yes,,,,,,CA
NT,LIVERPOOL BAY,CWLI,WLI,7196,69 35,130 54W,102,Yes,,,,,,CA
NT,LOWER CARP LAKE,CXLC,XLC,7168,63 36,113 51W,373,Yes,,,,,,CA
NT,LUTSEL KE ARPT (,CYLK,YLK,,62 25,110 40W,179,Yes,,TAF,,,,CA
NT,LUTSEL KE CS,CXLU,,7152,62 25,110 40W,179,Yes,,,,,,CA
NT,MOULD BAY,CYMD,YMD,7107,76 13,119 19W,12,Yes,,,Military,,,CA
NT,MOULD BAY CAMP,CWMD,WMD,,76 13,119 19W,12,Yes,,,,,,CA
NT,NORMAN WELLS ARP,CYVQ,YVQ,7104,65 16,126 47W,74,Yes,,TAF,Rawinsonde,,,CA
NT,PAULATUK AIRPORT,CYPC,YPC,,69 22,124 04W,6,Yes,,TAF,,,,CA
NT,PELLY ISLAND,CWND,,7150,69 38,135 26W,12,Yes,,,,,,CA
NT,QAVVIK LAKE,CXQA,,7158,68 15,122 06W,530,Yes,,,,,,CA
NT,RAE LAKES,CYRA,YRA,,64 07,117 19W,213,Yes,,TAF,,,,CA
NT,RAE LAKES,CWYH,,7116,64 07,117 22W,220,Yes,,,,,,CA
NT,ROBERTSON LAKE,CWTD,,7149,65 06,102 26W,244,Yes,,,,,,CA
NT,SACHS HARBOUR(M,CYSY,YSY,7105,72 00,125 16W,86,Yes,,TAF,,,,CA
NT,TRAIL VALLEY,CXTV,XTV,7168,68 45,133 30W,85,Yes,,,,,,CA
NT,TUKTOYAKTUK,CYUB,YUB,7195,69 27,133 01W,5,Yes,,TAF,Military,,,CA
NT,TUKTUT NOGAIT NP,CXTN,XTN,7149,69 12,122 21W,552,Yes,,,,,,CA
NT,WEKWEETI,CYWE,,,64 11,114 05W,371,Yes,,TAF,,,,CA
NT,WRIGLEY AIRPORT,CYWY,YWY,,63 13,123 25W,150,Yes,,,,,,CA
NT,YELLOWKNIFE AIRP,CYZF,YZF,7193,62 28,114 27W,206,Yes,,TAF,,,,CA
NT,YOHIN,CXYH,,7102,61 15,123 45W,204,Yes,,,,,,CA
NT,CANADA/ARTCC,CZVE,ZVE,,70 10,124 41W,1,,,ARTCC,,,,CA
NU,ALERT,CWLT,WLT,7108,82 30,062 19W,63,Yes,,,Rawinsonde,,,CA
NU,ALERT AIRPORT,CYLT,YLT,,82 31,062 16W,31,Yes,,TAF,,,,CA
NU,ALERT,CZLT,,7135,82 30,062 20W,65,Yes,,,,,,CA
NU,ARCTIC BAY CS,CXAT,XAT,7159,73 00,085 02W,19,Yes,,,,,,CA
NU,ARCTIC BAY,CYAB,,,73 00,085 03W,22,Yes,,TAF,,,,CA
NU,ARVIAT AIRPORT,CYEK,YEK,,61 06,094 04W,10,Yes,,TAF,,,,CA
NU,ARVIAT CLIMATE,CXAR,,7133,61 06,094 04W,10,Yes,,,,,,CA
NU,BAKER LAKE AIRPO,CYBK,YBK,7192,64 17,096 04W,18,Yes,,TAF,Rawinsonde,,,CA
NU,BAKER LAKE,CXBL,,7135,64 19,096 00W,51,Yes,,,,,,CA
NU,BREVOORT ISLAND,CWOB,WOB,7109,63 19,064 09W,367,Yes,,,,,,CA
NU,QIKIQTARJUAQ,CYVM,,7133,67 32,064 01W,6,Yes,,TAF,,,,CA
NU,BROUGHTON ISLAND,CWVD,WVD,,67 31,063 46W,573,Yes,,,,,,CA
NU,BROWN RIVER,CWBR,,7104,66 02,091 50W,31,Yes,,,,,,CA
NU,CAMBRIDGE BAY AR,CYCB,YCB,7192,69 05,105 07W,27,Yes,,TAF,Rawinsonde,,,CA
NU,CAMBRIDGE BAY,CXCM,,7128,69 06,105 08W,19,Yes,,,,,,CA
NU,CAPE DORSET AIRP,CYTE,YTE,7191,64 13,076 31W,47,Yes,,TAF,,,,CA
NU,CAPE DYER AIRPOR,CWFD,WFD,7109,66 34,061 35W,393,Yes,,,,,,CA
NU,CAPE HOOPER,CWUP,WUP,7109,68 28,066 49W,390,Yes,,,,,,CA
NU,CAPE MERCY,CWYM,WYM,7197,64 57,063 34W,583,Yes,,,,,,CA
NU,CAPE PEEL WEST,CWPX,WPX,7106,69 01,107 49W,165,Yes,,,,,,CA
NU,CHESTERFIELD INL,CYCS,YCS,,63 21,090 43W,11,Yes,,,,,,CA
NU,COPPERMINE AIRPO,CYCO,YCO,7193,67 49,115 09W,22,Yes,,TAF,,,,CA
NU,CORAL HARBOUR AR,CYZS,YZS,7191,64 12,083 22W,64,Yes,,TAF,Rawinsonde,,,CA
NU,CROKER RIVER,CWXR,WXR,7105,69 16,119 13W,69,Yes,,,,,,CA
NU,CYLDE AIRPORT,CYCY,YCY,7109,70 28,068 31W,26,Yes,,TAF,,,,CA
NU,DEWAR LAKES,CWUW,WUW,7109,68 39,071 10W,527,Yes,,,,,,CA
NU,ENNADAI LAKE (MA,CWJC,WJC,7192,61 08,100 54W,357,Yes,,,,,,CA
NU,EUREKA,CWEU,,7191,80 00,085 55W,10,Yes,,,Rawinsonde,,,CA
NU,EUREKA,CYEU,,,80 00,085 49W,78,Yes,,TAF,,,,CA
NU,FROBISHER/IQALUI,CYFB,YFB,7190,63 45,068 33W,34,Yes,,TAF,Rawinsonde,,,CA
NU,GJOA HAVEN AIRPO,CYHK,YHK,,68 37,095 50W,46,Yes,,TAF,,,,CA
NU,GJOA HAVEN,CZHK,,7136,68 38,095 51W,42,Yes,,,,,,CA
NU,GRISE FIORD AIR,CWGZ,WGZ,,76 25,082 54W,45,Yes,,,,,,CA
NU,HALL BEACH AIRPO,CYUX,,7108,68 46,081 15W,8,Yes,,TAF,Rawinsonde,,,CA
NU,HALL BEACH,CXUX,,7132,68 47,081 15W,8,Yes,,,,,,CA
NU,HAT ISLAND,CWIL,WIL,7108,68 19,100 04W,36,Yes,,,,,,CA
NU,IGLOOLIK AIRPORT,CYGT,YGT,,69 22,081 49W,51,Yes,,TAF,,,,CA
NU,ISACHSEN (MAPS),CWIC,WIC,7107,78 47,103 33W,58,Yes,,,,,,CA
NU,LADY FRANKLIN PO,CYUJ,YUJ,7193,68 30,113 13W,16,Yes,,,,,,CA
NU,LAKE HARBOUR ARP,CYLC,YLC,,62 51,069 52W,53,Yes,,,,,,CA
NU,LONGSTAFF BLUFF,CWLX,WLX,7109,68 54,075 09W,162,Yes,,,,,,CA
NU,LUPIN ARPT (SAWR,CYWO,YWO,7149,65 46,111 15W,494,Yes,,TAF,,,,CA
NU,LUPIN (MAPS),CWIJ,WIJ,,65 46,111 14W,500,Yes,,,,,,CA
NU,NANISIVIK AIRPOR,CYSR,YSR,,72 58,084 37W,649,Yes,,TAF,,,,CA
NU,PANGNIRTUNG AIRP,CYXP,YXP,,66 09,065 43W,23,Yes,,TAF,,,,CA
NU,PELLY BAY 1,CWRF,WRF,7191,69 25,089 43W,325,Yes,,,,,,CA
NU,PELLY BAY AIRPOR,CYBB,YBB,,68 31,089 49W,15,Yes,,TAF,,,,CA
NU,POND INLET AIRPO,CYIO,YIO,7109,72 40,077 58W,57,Yes,,TAF,,,,CA
NU,RAE POINT,CZRP,,7198,75 22,105 43W,12,Yes,,,,,,CA
NU,RANKIN INLET ARP,CYRT,YRT,7108,62 49,092 07W,32,Yes,,TAF,,,,CA
NU,REPULSE BAY AIRP,CYUT,YUT,,66 31,086 15W,24,Yes,,TAF,,,,CA
NU,RESOLUTE AIRPORT,CYRB,YRB,7192,74 43,094 58W,67,Yes,,TAF,Rawinsonde,,,CA
NU,RESOLUTE CS,CXRB,,7101,74 43,094 59W,30,Yes,,,,,,CA
NU,RESOLUTION IS,CWRH,WRH,7197,61 34,064 39W,369,Yes,,,,,,CA
NU,ROWLEY ISLAND,CWRX,WRX,7108,69 04,079 01W,41,Yes,,,,,,CA
NU,SANIKILUAQ AIRPO,CYSK,YSK,,56 32,079 15W,26,Yes,,,,,,CA
NU,SHEPHERD BAY ARP,CYUS,YUS,7191,68 49,093 25W,42,Yes,,,,,,CA
NU,SPENCE BAY AIRPO,CYYH,YYH,,69 32,093 34W,28,Yes,,TAF,,,,CA
NU,STEFANSSON IS,CXSE,,7101,73 46,105 17W,11,Yes,,,,,,CA
NU,WAGER BAY,CXWB,,,65 53,089 27W,18,Yes,,,,,,CA
NU,WHALE COVE AIRPO,CYXN,YXN,,62 13,092 35W,20,Yes,,,,,,CA
NU,IQALUIT CLIMATE,CXFB,,,63 45,068 33W,34,Obsolete,,,,,,CA
ON,ATIKOKAN (AUT),CWCH,WCH,7174,48 45,091 37W,424,Yes,,,,,,CA
ON,ATTAWAPISKAT,CYAT,,,52 56,082 26W,9,Yes,,,,,,CA
ON,BANCROFT AUTOB,CWRK,WRK,,45 04,077 52W,331,Yes,,,,,,CA
ON,BARRIE (MARS),CWCU,WCU,7143,44 22,079 46W,295,Yes,,,,,,CA
ON,BARRIE-ORO,CXBI,,7131,44 29,079 33W,289,Yes,,,,,,CA
ON,BEAUSOLEIL ISL A,CWPB,WPB,7127,44 51,079 52W,183,Yes,,,,,,CA
ON,BELLE RIVER AUT0,CWDD,WDD,7127,42 17,082 42W,184,Yes,,,,,,CA
ON,BIG TROUT LAKE,CWTL,WTL,,53 49,089 53W,222,,,,Military,,,CA
ON,BIG TROUT LAKE,CYTL,YTL,7184,53 49,089 53W,224,Yes,,TAF,,,,CA
ON,BORDEN,CYBN,YBN,7153,44 16,079 55W,223,Yes,,TAF,,,,CA
ON,BRITT (MARS),CWBI,WBI,7163,45 48,080 32W,190,Yes,,,,,,CA
ON,BURLINGTON PIERS,CWWB,WWB,7143,43 18,079 47W,76,Yes,,,,,,CA
ON,CAMERON FALLS,CXCA,XCA,7129,49 09,088 21W,228,Yes,,,,,,CA
ON,CARIBOU ISL (MAP,CWCI,WCI,7143,47 19,085 49W,187,Yes,,,,,,CA
ON,CHAPLEAU ARPT(SA,CYLD,YLD,,47 49,083 20W,447,Yes,,TAF,,,,CA
ON,CHATHAM,CYCK,,,42 18,082 05W,198,Yes,,,,,,CA
ON,COBOURG (MARS),CWNC,,7143,43 57,078 10W,78,Yes,,,,,,CA
ON,COLLINGWOOD (AUT,CWCO,WCO,7127,44 27,080 10W,221,Yes,,,,,,CA
ON,COVE ISLAND (MAP,CWWX,WWX,7143,45 19,081 44W,181,Yes,,,,,,CA
ON,CYPRUS LAKE CS,CXCY,XCY,,45 14,081 32W,190,Yes,,,,,,CA
ON,DELHI CS (AUT),CXDI,XDI,7157,42 52,080 33W,232,Yes,,,,,,CA
ON,DRYDEN AIRPORT,CYHD,YHD,,49 49,092 45W,413,Yes,,TAF,,,,CA
ON,DRYDEN,CXDR,,,49 51,092 48W,413,Yes,,,,,,CA
ON,EAR FALLS (AUT),CXEA,XEA,7129,50 38,093 13W,355,Yes,,,,,,CA
ON,EARLTON AIRPORT,CYXR,YXR,7173,47 42,079 50W,243,Yes,,TAF,,,,CA
ON,EARLTON,CZXR,,7153,47 42,079 50W,243,Yes,,,,,,CA
ON,EGBERT CS,CXET,XET,7129,44 14,079 47W,251,Yes,,,,,,CA
ON,EGBERT (MAPS),CWET,,7156,44 14,079 47W,251,Yes,,,,,,CA
ON,ELLIOT LAKE (SAW,CYEL,YEL,,46 21,082 34W,329,Yes,,TAF,,,,CA
ON,ELORA RCS,CZEL,,7135,43 39,080 25W,376,Yes,,,,,,CA
ON,ERIEAU (MAPS),CWAJ,WAJ,7146,42 15,081 54W,178,Yes,,,,,,CA
ON,EXETER RADAR,CWSO,,,43 22,081 23W,1,,Yes,,,,,CA
ON,FT SEVERN,CYER,,7109,56 01,087 41W,16,Yes,,,,,,CA
ON,FRANKTOWN,CXFT,,,45 02,076 06W,122,Yes,,,,,,CA
ON,GERALDTON AIRPOR,CYGQ,YGQ,7183,49 46,086 55W,351,Yes,,TAF,,,,CA
ON,GODERICH (AUTOB),CWGD,WGD,7126,43 46,081 43W,214,Yes,,,,,,CA
ON,GORE BAY AIRPORT,CYZE,YZE,7173,45 52,082 34W,193,Yes,,TAF,,,,CA
ON,GREAT DUCK ISLAN,CWNL,WNL,7146,45 37,082 58W,183,Yes,,,,,,CA
ON,GRENADIER ISLAND,CWGH,WGH,7128,44 25,075 51W,82,Yes,,,,,,CA
ON,HAMILTON AIRPORT,CYHM,YHM,7126,43 10,079 56W,238,Yes,,TAF,,,,CA
ON,HAMILTON RBG CS,CXHM,XHM,7129,43 17,079 54W,107,Yes,,,,ASOS,,CA
ON,HARROW CDA,CXHA,XHA,7129,42 02,082 54W,191,Yes,,,,,,CA
ON,KAPUSKASING AIRP,CYYU,YYU,7183,49 25,082 28W,227,Yes,,TAF,,,,CA
ON,KAPUSKASING CDA,CXKA,XKA,7129,49 24,082 27W,218,Yes,,,,,,CA
ON,KATATOTA ISLAND,CWKK,,,49 43,088 20W,260,Yes,,,,,,CA
ON,KEMPTVILLE,CXKE,XKE,7130,45 00,075 38W,99,Yes,,,,,,CA
ON,KENORA AIRPORT,CYQK,YQK,7185,49 46,094 22W,411,Yes,,TAF,,,,CA
ON,KILLARNEY (MAPS),CWBE,WBE,7146,45 59,081 29W,196,Yes,,,,,,CA
ON,KINGSTON ARPT (M,CYGK,YGK,7162,44 13,076 35W,93,Yes,,TAF,,,,CA
ON,KIRKLAND LAKE,CXKI,,7130,48 13,080 00W,324,Yes,,,,,,CA
ON,LADRIENNE RADAR,CXLA,,,48 33,077 48W,1,,Yes,,,,,CA
ON,LAGOON CITY,CWGL,WGL,7128,44 31,079 13W,221,Yes,,,,,,CA
ON,LANSDOWNE HOUSE,CWLF,WLF,7184,52 13,087 52W,242,Yes,,,,,,CA
ON,LANSDOWNE HOUSE,CYLF,,,52 14,087 53W,242,Yes,,,,,,CA
ON,LANSDOWNE 71697,CYLH,,,52 12,087 56W,254,Obsolete,,,,,,CA
ON,LONDON CS,CWSN,,7162,43 02,081 09W,278,Yes,,TAF,,,,CA
ON,LONDON AIRPORT,CYXU,YXU,7162,43 01,081 09W,278,Yes,,TAF,,,,CA
ON,LONG POINT (MAPS,CWPS,WPS,7146,42 34,080 02W,175,Yes,,,,,,CA
ON,MARATHON,CYSP,,,48 45,086 21W,315,Yes,,TAF,,,,CA
ON,MONTREAL RIV HAR,CWGJ,,,47 14,084 35W,559,,Yes,,,,,CA
ON,MONTREAL RIV,CZGJ,,,47 15,084 36W,520,Yes,,,,,,CA
ON,MOOSONEE (SAWR),CYMO,YMO,7183,51 17,080 37W,10,Yes,,TAF,Rawinsonde,,,CA
ON,MOOSONEE,CWZC,,,51 17,080 36W,11,Yes,,,,,,CA
ON,MOOSONEE RCS,CXZC,,7130,51 18,080 37W,9,Yes,,,,,,CA
ON,MOUNT FOREST(MAR,CWLS,WLS,7163,43 58,080 45W,415,Yes,,,,,,CA
ON,MUSKOKA AIRPORT,CYQA,YQA,7163,44 58,079 17W,282,Yes,,TAF,,,,CA
