province,station_name,icao,iata,synop,latitude,longitude,elevation_m,metar,nexrad,aviation,upper_air,auto_type,office_type,country
AB,OYEN AGDM,CXOY,,7134,51 23,110 21W,767,Yes,,,,,,CA
AB,ONEFOUR (AUTOB),CWOE,WOE,7111,49 07,110 28W,935,Yes,,,,,,CA
AB,PEACE RIVER AIRP,CYPE,YPE,7106,56 13,117 27W,571,Yes,,TAF,,,,CA
AB,PEORIA AGDM,CXPA,,7134,55 37,118 18W,621,Yes,,,,,,CA
AB,PINCHER CREEK(M,CZPC,ZPC,7187,49 31,114 00W,190,Yes,,,,,,CA
AB,POLLOCKVILLE AGD,CXPL,,7125,51 08,111 42W,750,Yes,,,,,,CA
AB,PRAIRIE RIVER,CXPV,XPV,7159,58 27,111 40W,213,Yes,,,,,,CA
AB,PRENTISS,CZPS,,7135,52 26,113 36W,965,Yes,,,,,,CA
AB,PRIMROSE LAKE,CWIQ,WIQ,7112,54 45,110 02W,702,Yes,,,,,,CA
AB,PRIMROSE LAKE 2,CWOU,WOU,7112,54 46,110 04W,606,Yes,,,,,,CA
AB,RED DEER AIRPORT,CYQF,YQF,7187,52 10,113 54W,905,Yes,,TAF,,,,CA
AB,RICH LAKE AGDM,CXRL,,7134,54 30,111 42W,585,Yes,,,,,,CA
AB,ROCKY HOUSE (MAR,CWRM,WRM,,52 25,114 55W,988,Yes,,,,,,CA
AB,SCHULER AGDM,CXSC,,7126,50 18,110 05W,800,Yes,,,,,,CA
AB,SCHULER RADAR,CXBU,,,50 29,110 12W,777,,Yes,,,,,CA
AB,SLAVE LAKE AIRPO,CYZH,YZH,7106,55 17,114 46W,581,Yes,,TAF,,,,CA
AB,SMOKY LAKE AGDM,CXSL,,7127,54 17,112 30W,680,Yes,,,,,,CA
AB,SPIRIT RIVER,CXSR,XSR,7157,55 42,119 14W,015,Yes,,,,,,CA
AB,STETTLER AGDM,CXAK,,7128,52 21,112 36W,795,Yes,,,,,,CA
AB,ST PAUL AGDM,CXSP,,7127,54 01,111 16W,649,Yes,,,,,,CA
AB,SUFFIELD AIRPORT,CYSD,YSD,7112,50 16,111 10W,770,Yes,,,,,,CA
AB,SUNDRE,CWAV,WAV,7124,51 46,114 40W,114,Yes,,,,,,CA
